YEAR,MONTH,DAY,AQI,AIRCONDI,PM2.5,PM10,SO2,CO,NO2,O3_8h,DAYS,HOLI,TEMP_H,TEMP_A,TEMP_L,DEW_H,DEW_A,DEW_L,HUMID_H,HUMID_A,HUMID_L,PRES_H,PRES_A,PRES_L,VISI_H,VISI_A,VISI_L,WIND_H,WIND_A,PRECIPI,EVENTS,EVENTS_NUM,SEASON
2010,1,1, , ,129, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4
2010,1,2, , ,144.3333333, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4
2010,1,3, , ,78.375, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4
2010,1,4, , ,29.29166667, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4
2010,1,5, , ,43.54166667, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4
2010,1,6, , ,59.375, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4
2010,1,7, , ,72.45833333, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4
2010,1,8, , ,174.3333333, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4
2010,1,9, , ,84.75, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4
2010,1,10, , ,55.08333333, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4
2010,1,11, , ,19.91666667, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4
2010,1,12, , ,20.5, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4
2010,1,13, , ,42.70833333, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4
2010,1,14, , ,92.08333333, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4
2010,1,15, , ,49.83333333, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4
2010,1,16, , ,182.7083333, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4
2010,1,17, , ,210, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4
2010,1,18, , ,263.375, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4
2010,1,19, , ,341, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4
